zcta,total_population,median_household_income
03811,7222,144481.0
03812,909,
03813,3897,58299.0
03814,2392,74475.0
03816,1441,85750.0
03817,1008,72788.0
03818,3930,73346.0
03819,4325,109726.0
03820,33150,92793.0
03823,2121,144635.0
03824,15054,126658.0
03825,9420,99706.0
03826,2944,110759.0
03827,3213,135341.0
03830,1733,68304.0
03832,423,75833.0
03833,22676,110566.0
03835,6800,63704.0
03836,1369,71875.0
03837,1684,116605.0
03838,1152,68050.0
03839,4150,86932.0
03840,4070,147132.0
03841,6282,99268.0
03842,16180,94433.0
03844,2357,155787.0
03845,1172,71667.0
03846,1043,89583.0
03847,198,46845.0
03848,6261,103665.0
03849,1451,96875.0
03850,320,120250.0
03851,4286,98750.0
03852,245,
03853,687,101958.0
03854,948,193558.0
03855,2735,99122.0
03856,2010,191625.0
03857,9431,94345.0
03858,4825,135648.0
03860,3780,81771.0
03861,4558,140321.0
03862,4563,136170.0
03864,2047,64744.0
03865,7850,109040.0
03867,22886,74397.0
03868,5830,89000.0
03869,2452,82983.0
03870,5092,127772.0
03871,459,
03872,3890,91563.0
03873,6590,137813.0
03874,8613,87000.0
03875,1052,112625.0
03878,12145,79691.0
03882,1758,77426.0
03883,556,77610.0
03884,4271,122083.0
03885,7742,141438.0
03886,1322,77955.0
03887,2007,99868.0
03890,52,
03894,6577,84660.0
03897,8,
03901,8094,77790.0
03902,2530,131538.0
03903,6978,100472.0
03904,8310,74551.0
03905,1970,138519.0
03906,5275,95762.0
03907,1264,104250.0
03908,7384,97927.0
03909,11021,108889.0
03910,0,
03911,322,
04001,2695,75652.0
04002,7695,77853.0
04003,90,71250.0
04005,24698,71268.0
04006,72,250001.0
04008,3115,104914.0
04009,5357,86386.0
04010,1743,59291.0
04011,22081,74102.0
04015,3656,64229.0
04017,568,63750.0
04019,54,85625.0
04020,1948,69068.0
04021,6629,145833.0
04022,1149,65938.0
04024,414,55833.0
04027,6569,97257.0
04029,2124,71845.0
04030,2795,69709.0
04032,8736,108864.0
04037,3949,52135.0
04038,18192,110181.0
04039,8004,94284.0
04040,2963,58267.0
04041,1757,62500.0
04042,4824,81250.0
04043,11692,101204.0
04046,8035,99861.0
04047,1704,61250.0
04048,3315,90125.0
04049,3971,78558.0
04050,300,80625.0
04051,1291,72308.0
04055,3949,68278.0
04056,131,
04057,180,
04061,3105,83299.0
04062,19041,98946.0
04063,565,60594.0
04064,8585,66689.0
04066,845,113409.0
04068,1566,58333.0
04069,1551,103750.0
04071,4922,86932.0
04072,20636,84328.0
04073,17385,69135.0
04074,22527,125642.0
04076,2954,87560.0
04079,4094,87866.0
04083,4710,81299.0
04084,7695,103086.0
04085,2822,88739.0
04086,9644,82356.0
04087,2122,96268.0
04088,1300,65000.0
04090,11544,83900.0
04091,751,79500.0
04092,20484,85868.0
04093,8451,85208.0
04095,1382,57188.0
04096,9006,107911.0
04097,4173,119813.0
04101,18128,60726.0
04102,17642,79631.0
04103,31705,90682.0
04105,12557,131833.0
04106,26966,83744.0
04107,9581,145464.0
04108,788,84120.0
04109,188,
04110,1917,187857.0
04210,24294,66552.0
04216,602,44583.0
04217,3285,58152.0
04219,1228,61719.0
04220,3815,89036.0
04221,1072,67656.0
04222,4203,96492.0
04224,3077,67109.0
04226,73,37375.0
04227,16,
04231,297,50893.0
04234,0,
04236,4390,91736.0
04237,220,
04238,1175,88011.0
04239,4644,77575.0
04240,37886,56558.0
04250,4808,71903.0
04252,4908,72303.0
04253,1847,71691.0
04254,3076,44535.0
04255,676,54107.0
04256,3108,58958.0
04257,2772,54052.0
04258,2774,91932.0
04259,3493,94868.0
04260,5733,107781.0
04261,300,41250.0
04263,2371,86339.0
04265,645,43712.0
04267,17,
04268,5168,53162.0
04270,6200,69263.0
04271,0,
04274,5920,94625.0
04275,606,64643.0
04276,5918,39522.0
04280,6886,63250.0
04281,5268,68197.0
04282,5852,87981.0
04284,1096,75987.0
04285,513,64118.0
04286,0,
04287,3180,78238.0
04289,1901,55670.0
04290,1498,67500.0
04292,996,51250.0
04294,3978,61016.0
04330,26517,55158.0
04341,39,
04342,1639,78150.0
04344,3001,60000.0
04345,12363,68844.0
04346,1479,52917.0
04347,2570,58811.0
04348,3497,72734.0
04349,1343,56250.0
04350,3635,75329.0
04351,2464,89453.0
04352,1728,73664.0
04353,2343,73750.0
04354,1420,92344.0
04355,2628,88583.0
04357,3555,66667.0
04358,4475,93825.0
04359,375,120652.0
04360,562,74453.0
04363,2666,65852.0
04364,6153,82858.0
04401,44418,66136.0
04406,739,53250.0
04408,230,65625.0
04410,1180,72167.0
04411,1561,68929.0
04412,9654,51490.0
04413,225,63971.0
04414,1743,54914.0
04415,316,39375.0
04416,5503,62913.0
04417,386,42778.0
04418,1702,59150.0
04419,2901,89615.0
04421,1222,111500.0
04422,1189,75795.0
04424,1065,42313.0
04426,4975,58750.0
04427,2942,60612.0
04428,3374,74784.0
04429,4993,92223.0
04430,1545,44306.0
04431,45,
04434,1245,68788.0
04435,1132,76875.0
04438,1229,64750.0
04441,1866,60965.0
04442,132,52788.0
04443,2152,49432.0
04444,9322,102922.0
04448,1489,48958.0
04449,1144,59750.0
04450,1306,77917.0
04451,240,29402.0
04453,839,43839.0
04454,10,
04455,934,49219.0
04456,3012,75917.0
04457,5755,51403.0
04459,703,43750.0
04460,1144,46125.0
04461,3083,63892.0
04462,4462,44167.0
04463,2649,58693.0
04464,561,52019.0
04468,9163,51063.0
04469,3310,
04471,597,40417.0
04472,1857,82697.0
04473,8383,58893.0
04474,3837,92583.0
04475,380,51667.0
04476,1127,52500.0
04478,491,58750.0
04479,1103,43365.0
04481,487,71450.0
04485,205,63750.0
04487,742,41136.0
04488,1087,76563.0
04489,366,
04490,240,47656.0
04491,158,53500.0
04492,185,43750.0
04493,1790,55625.0
04495,273,37125.0
04496,3839,103938.0
04497,319,43438.0
04530,11564,78482.0
04535,829,87250.0
04537,1687,57476.0
04538,1688,60000.0
04539,1524,94688.0
04541,44,
04543,2249,59659.0
04544,872,
04547,1276,66618.0
04548,913,82986.0
04551,851,96250.0
04553,1773,79667.0
04554,562,76932.0
04555,1760,96667.0
04556,1344,89844.0
04558,291,81103.0
04562,1987,102446.0
04563,1407,68345.0
04564,477,118077.0
04568,487,54554.0
04570,0,
04571,517,56447.0
04572,5228,66072.0
04573,518,85682.0
04574,1618,63036.0
04575,355,95625.0
04576,521,83438.0
04578,4608,82750.0
04579,3135,103482.0
04605,14695,72083.0
04606,1077,48603.0
04607,1264,61583.0
04609,5198,74408.0
04611,451,68125.0
04612,557,85694.0
04613,114,59792.0
04614,2811,70164.0
04616,817,66250.0
04617,649,51891.0
04619,3087,48654.0
04622,1043,43000.0
